# Kranji phonic partition - initial: zero
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 1115
U+5F0B	弋	yì	yì	
U+5F15	引	yǐn	yǐn	yǐn(498)
U+5F2F	弯	wān	wān	wān(161)
U+5F5D	彝	yí	yí	
U+5F5F	彟	yuē	yuē	
U+5F66	彦	yàn	yàn	
U+5F67	彧	yù	yù	
U+5F71	影	yǐng	yǐng	yǐng(854)
U+5F79	役	yì	yì	yì(123)
U+5F80	往	wǎng	wǎng	wǎng(856) wàng(427)
U+5F89	徉	yáng	yáng	
U+5FA1	御	yù	yù	yù(42)
U+5FAD	徭	yáo	yáo	
U+5FAE	微	wēi	wēi	wēi(511)
U+5FC6	忆	yì	yì	yì(110)
U+5FD8	忘	wàng	wàng	wàng(312)
U+5FE4	忤	wǔ	wǔ	
U+5FE7	忧	yōu	yōu	yōu(23)
U+6003	怃	wǔ	wǔ	
U+6004	怄	òu	òu	
U+600F	怏	yàng	yàng	
U+6021	怡	yí	yí	
U+6028	怨	yuàn	yuàn	yuàn(34) yuan(13)
U+603F	怿	yì	yì	
U+6059	恙	yàng	yàng	
U+6069	恩	ēn	ēn	
U+6076	恶	ě,è,wù	è	è(157) wù(40)
U+6079	恹	yān	yān	
U+607D	恽	yùn	yùn	
U+607F	恿	yǒng	yǒng	
U+6086	悆	yù	yù	
U+6092	悒	yì	yì	
U+609F	悟	wù	wù	wù(69)
U+60A0	悠	yōu	yōu	yōu(14)
U+60A6	悦	yuè	yuè	yuè(23)
U+60CB	惋	wǎn	wǎn	wǎn(14)
U+60D8	惘	wǎng	wǎng	
U+60DF	惟	wéi	wéi	wéi(123)
U+6108	愈	yù	yù	yù(139)
U+6109	愉	yú	yú	yú(74)
U+610F	意	yì	yì	yì(2098) yi(450)
U+6114	愔	yīn	yīn	
U+6115	愕	è	è	è(14)
U+611A	愚	yú	yú	yú(8)
U+6120	愠	yùn	yùn	
U+613F	愿	yuàn	yuàn	yuàn(525)
U+616D	慭	yìn	yìn	
U+6170	慰	wèi	wèi	wèi(70)
U+6175	慵	yōng	yōng	
U+61CA	懊	ào	ào	
U+61FF	懿	yì	yì	
U+620A	戊	wù	wù	
U+6211	我	wǒ	wǒ	wǒ(23213)
U+622D	戭	yǎn	yǎn	
U+6245	扅	yí	yí	
U+6246	扆	yǐ	yǐ	
U+624A	扊	yǎn	yǎn	
U+626C	扬	yáng	yáng	yáng(179)
U+627C	扼	è	è	
U+6291	抑	yì	yì	yì(53)
U+62BC	押	yā	yā	yā(35)
U+62D7	拗	ào,niù	ào	
U+62E5	拥	yōng	yōng	yōng(122)
U+6309	按	àn	àn	àn(439)
U+6316	挖	wā	wā	wā(136)
U+631D	挝	wō	wō	
U+6328	挨	āi,ái	āi	āi(111)
U+6339	挹	yì	yì	
U+633D	挽	wǎn	wǎn	wǎn(66)
U+6342	捂	wǔ	wǔ	wǔ(22)
U+6396	掖	yē,yè	yē	
U+639E	掞	yàn	yàn	
U+63A9	掩	yǎn	yǎn	yǎn(84)
U+63BE	掾	yuàn	yuàn	
U+63C4	揄	yú	yú	
U+63D6	揖	yī	yī	
U+63E0	揠	yà	yà	
U+63E1	握	wò	wò	wò(337)
U+63F4	援	yuán	yuán	yuán(137)
U+63F6	揶	yé	yé	
U+6441	摁	èn	èn	
U+6447	摇	yáo	yáo	yáo(387)
U+6484	撄	yīng	yīng	
U+6538	攸	yōu	yōu	
U+6554	敔	yǔ	yǔ	
U+6556	敖	áo	áo	
U+6587	文	wén	wén	wén(1890)
U+65A1	斡	wò	wò	
U+65BC	於	yū,yú	yú	
U+65D6	旖	yǐ	yǐ	
U+65E0	无	mó,wú	wú	wú(1997)
U+65F8	旸	yáng	yáng	
U+65FA	旺	wàng	wàng	wàng(27)
U+65FF	旿	wǔ	wǔ	
U+6600	昀	yún	yún	
U+6602	昂	áng	áng	áng(44)
U+6613	易	yì	yì	yì(530)
U+6620	映	yìng	yìng	yìng(289)
U+6631	昱	yù	yù	
U+664F	晏	yàn	yàn	
U+6654	晔	yè	yè	
U+6655	晕	yūn,yùn	yūn	yūn(19)
U+665A	晚	wǎn	wǎn	wǎn(729)
U+6664	晤	wù	wù	
U+6697	暗	àn	àn	àn(329)
U+66A7	暧	ài	ài	
U+66DC	曜	yào	yào	
U+66F0	曰	yuē	yuē	yuē(12)
U+66F3	曳	yè	yè	
U+6708	月	yuè	yuè	yuè(1694) yue(11)
U+6709	有	yǒu	yǒu	yǒu(17798)
U+671B	望	wàng	wàng	wàng(1150) wang(29)
U+672A	未	wèi	wèi	wèi(328)
U+674C	杌	wù	wù	
U+6759	杙	yì	yì	
U+6768	杨	yáng	yáng	yáng(77)
U+6773	杳	yǎo	yǎo	
U+6789	枉	wǎng	wǎng	wang(26)
U+678D	枍	yì	yì	
U+67DA	柚	yóu,yòu	yòu	
U+6810	栐	yǒng	yǒng	
U+6837	样	yàng	yàng	yàng(4642)
U+6845	桅	wéi	wéi	wéi(14)
U+6848	案	àn	àn	àn(255)
U+6849	桉	ān	ān	
U+6860	桠	yā	yā	
U+68A7	梧	wú	wú	
U+68EA	棪	yǎn	yǎn	
U+68EB	棫	yù	yù	
U+6900	椀	wǎn	wǎn	
U+6905	椅	yī,yǐ	yǐ	yǐ(105)
U+6930	椰	yē	yē	
U+6938	椸	yí	yí	
U+6979	楹	yíng	yíng	
U+6985	榅	wēn	wēn	
U+6986	榆	yú	yú	
U+69F1	槱	yǒu	yǒu	
U+6A31	樱	yīng	yīng	
U+6A3E	樾	yuè	yuè	
U+6A7C	橼	yuán	yuán	
U+6A90	檐	yán	yán	yán(13)
U+6B24	欤	yú	yú	
U+6B27	欧	ōu	ōu	ōu(16)
U+6B32	欲	yù	yù	yù(43)
U+6B38	欸	ǎi,ê̄,ế,ê̌,ề	ǎi	
U+6B45	歅	yīn	yīn	
U+6B66	武	wǔ	wǔ	wǔ(337)
U+6B6A	歪	wāi	wāi	wāi(64)
U+6B83	殃	yāng	yāng	
U+6B92	殒	yǔn	yǔn	
U+6BAA	殪	yì	yì	
U+6BB4	殴	ōu	ōu	
U+6BB7	殷	yān,yīn	yīn	
U+6BC5	毅	yì	yì	yì(25)
U+6BCB	毋	wú	wú	
U+6BD0	毐	ǎi	ǎi	
U+6BD3	毓	yù	yù	
U+6C24	氤	yīn	yīn	
U+6C27	氧	yǎng	yǎng	yǎng(129)
U+6C28	氨	ān	ān	ān(22)
U+6C29	氩	yà	yà	
U+6C32	氲	yūn	yūn	
U+6C38	永	yǒng	yǒng	yǒng(303)
U+6C61	污	wū	wū	wū(107)
U+6C6A	汪	wāng	wāng	wāng(20)
U+6C76	汶	wèn	wèn	
U+6C82	沂	yí	yí	
U+6C83	沃	wò	wò	wò(18)
U+6C84	沄	yún	yún	
U+6C85	沅	yuán	yuán	
U+6C87	沇	yǎn	yǎn	
U+6CA4	沤	òu	òu	
U+6CA9	沩	wéi	wéi	
U+6CB9	油	yóu	yóu	yóu(822)
U+6CBF	沿	yán	yán	yán(219) yàn(12)
U+6CF1	泱	yāng	yāng	
U+6CF3	泳	yǒng	yǒng	yǒng(17)
U+6D07	洇	yīn	yīn	
U+6D08	洈	wéi	wéi	
U+6D0B	洋	yáng	yáng	yáng(296)
U+6D22	洢	yī	yī	
U+6D27	洧	wěi	wěi	
U+6D31	洱	ěr	ěr	
U+6D3C	洼	wā	wā	
U+6D3F	洿	wū	wū	
U+6D5F	浟	yóu	yóu	
U+6D65	浥	yì	yì	
U+6D6F	浯	wú	wú	
U+6D74	浴	yù	yù	
U+6D8C	涌	chōng,yǒng	yǒng	yǒng(168)
U+6D90	涐	é	é	
U+6DA0	涠	wéi	wéi	
U+6DA1	涡	guō,wō	wō	wō(43)
U+6DA2	涢	yún	yún	
U+6DAF	涯	yá	yá	
U+6DB2	液	yè	yè	yè(186)
U+6DB4	涴	yuān	wò	
U+6DE4	淤	yū	yū	
U+6DEB	淫	yín	yín	
U+6DEF	淯	yù	yù	
U+6DF9	淹	yān	yān	yān(41)
