# Kranji phonic partition - initial: j
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 629
U+8B66	警	jǐng	jǐng	jǐng(198)
U+8BA1	计	jì	jì	jì(1050) ji(58)
U+8BA5	讥	jī	jī	jī(19)
U+8BA6	讦	jié	jié	
U+8BB0	记	jì	jì	jì(866) ji(414)
U+8BB2	讲	jiǎng	jiǎng	jiǎng(974)
U+8BB5	讵	jù	jù	
U+8BC0	诀	jué	jué	
U+8BD8	诘	jié	jié	
U+8BEB	诫	jiè	jiè	jiè(10)
U+8C0F	谏	jiàn	jiàn	
U+8C28	谨	jǐn	jǐn	jǐn(20)
U+8C2B	谫	jiǎn	jiǎn	
U+8C32	谲	jué	jué	
U+8C47	豇	jiāng	jiāng	
U+8D31	贱	jiàn	jiàn	jiàn(29)
U+8D3E	贾	gǔ,jiǎ	jiǎ	
U+8D46	赆	jìn	jìn	
U+8D4D	赍	jī	jī	
U+8D73	赳	jiū	jiū	
U+8D84	趄	jū,qiè	jū	
U+8DBC	趼	jiǎn	jiǎn	
U+8DCF	跏	jiā	jiā	
U+8DDD	距	jù	jù	jù(129)
U+8DE4	跤	jiāo	jiāo	
U+8DF5	践	jiàn	jiàn	jiàn(312)
U+8DFB	跻	jī	jī	
U+8DFD	跽	jì	jì	
U+8E1E	踞	jù	jù	
U+8E3A	踺	jiàn	jiàn	
U+8E3D	踽	jǔ	jǔ	
U+8E47	蹇	jiǎn	jiǎn	
U+8E50	蹐	jí	jí	
U+8E76	蹶	jué,juě	jué	
U+8F7F	轿	jiào	jiào	jiào(27)
U+8F83	较	jiào	jiào	jiào(799)
U+8F91	辑	jí	jí	ji(41) jí(28)
U+8FD1	近	jìn	jìn	jìn(823)
U+8FDB	进	jìn	jìn	jìn(3920)
U+8FE5	迥	jiǒng	jiǒng	
U+8FE6	迦	jiā	jiā	
U+8FF3	迳	jìng	jìng	
U+8FF9	迹	jì	jì	jī(87)
U+907D	遽	jù	jù	
U+90CA	郊	jiāo	jiāo	jiāo(26)
U+90CF	郏	jiá	jiá	
U+90E1	郡	jùn	jùn	
U+9104	鄄	juàn	juàn	
U+9152	酒	jiǔ	jiǔ	jiǔ(262)
U+9171	酱	jiàng	jiàng	jiàng(36)
U+9175	酵	jiào	jiào	jiào(9)
U+91AE	醮	jiào	jiào	
U+91B5	醵	jù	jù	
U+91D1	金	jīn	jīn	jīn(568)
U+9274	鉴	jiàn	jiàn	jiàn(33)
U+949C	钜	jù	jù	
U+94A7	钧	jūn	jūn	
U+94BE	钾	jiǎ	jiǎ	
U+94D7	铗	jiá	jiá	
U+94F0	铰	jiǎo	jiǎo	
U+950F	锏	jiǎn	jiǎn	
U+9514	锔	jū,jú	jū	
U+9526	锦	jǐn	jǐn	jǐn(50)
U+9529	锩	juǎn	juǎn	
U+952E	键	jiàn	jiàn	jiàn(60)
U+952F	锯	jù	jù	jù(14)
U+954C	镌	juān	juān	
U+9553	镓	jiā	jiā	
U+955C	镜	jìng	jìng	jìng(285)
U+9562	镢	jué	jué	
U+95F4	间	jiān,jiàn	jiān	jiān(2080) jian(37) jiàn(15)
U+9604	阄	jiū	jiū	
U+9631	阱	jǐng	jǐng	
U+9636	阶	jiē	jiē	jiē(1888)
U+9645	际	jì	jì	jì(706)
U+964D	降	jiàng,xiáng	jiàng	jiàng(243) xiáng(75)
U+96BD	隽	juàn	juàn	
U+96C6	集	jí	jí	jí(751)
U+96CE	雎	jū	jū	
U+9701	霁	jì	jì	
U+9753	靓	jìng,liàng	jìng	
U+9756	靖	jìng	jìng	
U+9759	静	jìng	jìng	jìng(449) jing(28)
U+9773	靳	jìn	jìn	
U+97A0	鞠	jū	jū	jū(22)
U+97AB	鞫	jū	jū	
U+97AC	鞬	jiān	jiān	
U+97AF	鞯	jiān	jiān	
U+97ED	韭	jiǔ	jiǔ	
U+9888	颈	gěng,jǐng	jǐng	jǐng(13)
U+9889	颉	jié,xié	jié	
U+988A	颊	jiá	jiá	jiá(10)
U+988E	颎	jiǒng	jiǒng	
U+98D3	飓	jù	jù	
U+9965	饥	jī	jī	jī(37)
U+996F	饯	jiàn	jiàn	
U+997A	饺	jiǎo	jiǎo	jiǎo(10)
U+9991	馑	jǐn	jǐn	
U+9A79	驹	jū	jū	jū(10)
U+9A7E	驾	jià	jià	jià(59)
U+9A84	骄	jiāo	jiāo	jiāo(67)
U+9A8F	骏	jùn	jùn	
U+9AA5	骥	jì	jì	
U+9AB1	骱	jiè	jiè	
U+9AFB	髻	jì	jì	
U+9B0F	鬏	jiū	jiū	
U+9C7E	鱾	jǐ	jǐ	
U+9C92	鲒	jié	jié	
U+9C9A	鲚	jì	jì	
U+9C9B	鲛	jiāo	jiāo	
U+9CA3	鲣	jiān	jiān	
U+9CAA	鲪	jūn	jūn	
U+9CAB	鲫	jì	jì	
U+9CB8	鲸	jīng	jīng	jīng(64)
U+9CC9	鳉	jiāng	jiāng	
U+9CD2	鳒	jiān	jiān	
U+9E20	鸠	jiū	jiū	
U+9E21	鸡	jī	jī	jī(244)
U+9E43	鹃	juān	juān	juān(16)
U+9E61	鹡	jí	jí	
U+9E63	鹣	jiān	jiān	
U+9E6A	鹪	jiāo	jiāo	
U+9E6B	鹫	jiù	jiù	
U+9E82	麂	jǐ	jǐ	
U+9E87	麇	jūn,qún	jūn	
U+9E96	麖	jīng	jīng	
U+9F31	鼱	jīng	jīng	
U+9F51	齑	jī	jī	
U+9F83	龃	jǔ	jǔ	
U+2A7DD	𪟝	jì	jì	
U+2B300	𫌀	jī	jī	
U+2B4EF	𫓯	jī	jī	
U+2B4F9	𫓹	jī	jī	
U+2B50E	𫔎	jué	jué	
U+2B61D	𫘝	jué	jué	
U+2C0A9	𬂩	jiā	jiā	
U+2C8E1	𬣡	jiàn	jiàn	
U+2CB31	𬬱	jīn	jīn	
U+2CBC0	𬯀	jī	jī	
U+2CCF6	𬳶	jiōng	jiōng	
U+2CD8B	𬶋	jū	jū	
U+2CDA8	𬶨	jì	jì	
U+2CDAD	𬶭	jì	jì	
